2048
         574093402 function calls (506375363 primitive calls) in 362.909 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.008    0.008    0.028    0.028 random.py:40(<module>)
        1    0.000    0.000    0.000    0.000 random.py:655(WichmannHill)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
        1    0.000    0.000    0.000    0.000 random.py:805(SystemRandom)
        1    0.000    0.000    0.001    0.001 random.py:91(__init__)
       16    0.000    0.000    0.008    0.001 re.py:192(compile)
       16    0.000    0.000    0.008    0.001 re.py:230(_compile)
        1    0.002    0.002    0.002    0.002 scanner.py:2(<module>)
    25948    0.021    0.000    0.028    0.000 sets.py:101(__iter__)
     5320    0.027    0.000    0.037    0.000 sets.py:341(_update)
        1    0.000    0.000    0.000    0.000 sets.py:378(ImmutableSet)
        1    0.000    0.000    0.000    0.000 sets.py:403(Set)
        1    0.003    0.003    0.003    0.003 sets.py:41(<module>)
     5320    0.013    0.000    0.050    0.000 sets.py:410(__init__)
        1    0.000    0.000    0.000    0.000 sets.py:548(_TemporarilyImmutableSet)
        1    0.000    0.000    0.000    0.000 sets.py:65(BaseSet)
       56    0.000    0.000    0.001    0.000 sre_compile.py:228(_compile_charset)
       56    0.000    0.000    0.001    0.000 sre_compile.py:256(_optimize_charset)
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       71    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
       16    0.000    0.000    0.001    0.000 sre_compile.py:433(_compile_info)
       32    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
       16    0.000    0.000    0.003    0.000 sre_compile.py:552(_code)
       16    0.000    0.000    0.008    0.000 sre_compile.py:567(compile)
   143/16    0.001    0.000    0.002    0.000 sre_compile.py:64(_compile)
      319    0.000    0.000    0.000    0.000 sre_parse.py:137(__len__)
      644    0.000    0.000    0.001    0.000 sre_parse.py:141(__getitem__)
       71    0.000    0.000    0.000    0.000 sre_parse.py:145(__setitem__)
      256    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
   214/87    0.001    0.000    0.001    0.000 sre_parse.py:151(getwidth)
       16    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
      601    0.001    0.000    0.001    0.000 sre_parse.py:193(__next)
      420    0.000    0.000    0.000    0.000 sre_parse.py:206(match)
      497    0.000    0.000    0.001    0.000 sre_parse.py:212(get)
       43    0.000    0.000    0.000    0.000 sre_parse.py:236(_class_escape)
       47    0.000    0.000    0.000    0.000 sre_parse.py:268(_escape)
    63/16    0.000    0.000    0.004    0.000 sre_parse.py:317(_parse_sub)
    68/18    0.002    0.000    0.004    0.000 sre_parse.py:395(_parse)
       16    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       16    0.000    0.000    0.004    0.000 sre_parse.py:706(parse)
       38    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
       38    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
      143    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
        1    0.000    0.000    0.000    0.000 string.py:250(strip)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha512}
     9793    0.003    0.000    0.003    0.000 {_json.encode_basestring_ascii}
       16    0.000    0.000    0.000    0.000 {_sre.compile}
        2    0.000    0.000    0.000    0.000 {_struct.unpack}
        1    0.000    0.000    0.000    0.000 {_warnings.warn}
    52465    0.015    0.000    0.015    0.000 {abs}
    42838    0.049    0.000    0.095    0.000 {all}
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
       32    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 {filter}
        1    0.001    0.001    0.001    0.001 {function seed at 0x1022b2b18}
        6    0.000    0.000    0.000    0.000 {getattr}
        6    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.000    0.000 {hasattr}
112815439   11.793    0.000   11.793    0.000 {id}
    45189    0.022    0.000    0.022    0.000 {isinstance}
     5320    0.002    0.000    0.002    0.000 {iter}
37570205/37570119    4.414    0.000    4.414    0.000 {len}
        1    0.000    0.000    0.000    0.000 {math.exp}
   110325    0.057    0.000    0.057    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 {math.sqrt}
 11717974    2.779    0.000    2.779    0.000 {max}
122863895   18.519    0.000   18.519    0.000 {method 'append' of 'list' objects}
    56752    0.032    0.000    0.032    0.000 {method 'center' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        2    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
        6    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      154    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       32    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
 96024893   15.384    0.000   15.384    0.000 {method 'get' of 'dict' objects}
       17    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
    25948    0.007    0.000    0.007    0.000 {method 'iterkeys' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
 26947001   10.198    0.000   10.198    0.000 {method 'pop' of 'list' objects}
   298720    0.083    0.000    0.083    0.000 {method 'random' of '_random.Random' objects}
        2    0.030    0.015    0.030    0.015 {method 'read' of 'file' objects}
       38    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       32    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
    39175    0.023    0.000    0.023    0.000 {method 'write' of 'file' objects}
   295465    0.119    0.000    0.119    0.000 {min}
        2    0.000    0.000    0.000    0.000 {open}
      191    0.000    0.000    0.000    0.000 {ord}
        1    0.002    0.002    0.002    0.002 {posix.popen}
        1    0.000    0.000    0.000    0.000 {posix.uname}
        1    0.000    0.000    0.000    0.000 {posix.urandom}
  5003028    2.781    0.000    2.781    0.000 {range}
     9793    0.006    0.000    0.006    0.000 {repr}
        1    0.047    0.047    0.051    0.051 {sorted}
     3547    0.009    0.000    0.009    0.000 {time.clock}
   671689    0.172    0.000    0.172    0.000 {time.time}
    42838    0.040    0.000    0.040    0.000 {zip}
