290739656 function calls (255642818 primitive calls) in 183.600 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 random.py:91(__init__)
       16    0.000    0.000    0.016    0.001 re.py:192(compile)
       16    0.000    0.000    0.016    0.001 re.py:230(_compile)
        1    0.001    0.001    0.002    0.002 scanner.py:2(<module>)
    10161    0.008    0.000    0.011    0.000 sets.py:101(__iter__)
     2692    0.014    0.000    0.019    0.000 sets.py:341(_update)
        1    0.000    0.000    0.000    0.000 sets.py:378(ImmutableSet)
        1    0.000    0.000    0.000    0.000 sets.py:403(Set)
        1    0.001    0.001    0.001    0.001 sets.py:41(<module>)
     2692    0.007    0.000    0.026    0.000 sets.py:410(__init__)
        1    0.000    0.000    0.000    0.000 sets.py:548(_TemporarilyImmutableSet)
        1    0.000    0.000    0.000    0.000 sets.py:65(BaseSet)
       56    0.000    0.000    0.002    0.000 sre_compile.py:228(_compile_charset)
       56    0.001    0.000    0.001    0.000 sre_compile.py:256(_optimize_charset)
        4    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       71    0.000    0.000    0.000    0.000 sre_compile.py:428(_simple)
       16    0.000    0.000    0.002    0.000 sre_compile.py:433(_compile_info)
       32    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
       16    0.000    0.000    0.006    0.000 sre_compile.py:552(_code)
       16    0.000    0.000    0.015    0.001 sre_compile.py:567(compile)
   143/16    0.002    0.000    0.004    0.000 sre_compile.py:64(_compile)
      319    0.000    0.000    0.000    0.000 sre_parse.py:137(__len__)
      644    0.001    0.000    0.001    0.000 sre_parse.py:141(__getitem__)
       71    0.000    0.000    0.000    0.000 sre_parse.py:145(__setitem__)
      256    0.000    0.000    0.000    0.000 sre_parse.py:149(append)
   214/87    0.001    0.000    0.001    0.000 sre_parse.py:151(getwidth)
       16    0.000    0.000    0.000    0.000 sre_parse.py:189(__init__)
      601    0.001    0.000    0.001    0.000 sre_parse.py:193(__next)
      420    0.000    0.000    0.000    0.000 sre_parse.py:206(match)
      497    0.000    0.000    0.002    0.000 sre_parse.py:212(get)
       43    0.000    0.000    0.000    0.000 sre_parse.py:236(_class_escape)
       47    0.000    0.000    0.000    0.000 sre_parse.py:268(_escape)
    63/16    0.000    0.000    0.009    0.001 sre_parse.py:317(_parse_sub)
    68/18    0.004    0.000    0.008    0.000 sre_parse.py:395(_parse)
       16    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       16    0.000    0.000    0.009    0.001 sre_parse.py:706(parse)
       38    0.000    0.000    0.000    0.000 sre_parse.py:74(opengroup)
       38    0.000    0.000    0.000    0.000 sre_parse.py:85(closegroup)
      143    0.000    0.000    0.000    0.000 sre_parse.py:92(__init__)
        1    0.000    0.000    0.000    0.000 string.py:250(strip)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha512}
     6025    0.002    0.000    0.002    0.000 {_json.encode_basestring_ascii}
       16    0.000    0.000    0.000    0.000 {_sre.compile}
        2    0.000    0.000    0.000    0.000 {_struct.unpack}
        1    0.000    0.000    0.000    0.000 {_warnings.warn}
    33482    0.013    0.000    0.013    0.000 {abs}
    31309    0.030    0.000    0.061    0.000 {all}
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
       32    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 {filter}
        1    0.001    0.001    0.001    0.001 {function seed at 0x101aaeb18}
        6    0.000    0.000    0.000    0.000 {getattr}
        6    0.000    0.000    0.000    0.000 {globals}
        1    0.000    0.000    0.000    0.000 {hasattr}
 57525582    6.020    0.000    6.020    0.000 {id}
    27489    0.018    0.000    0.018    0.000 {isinstance}
     2692    0.001    0.000    0.001    0.000 {iter}
18556525/18556439    2.181    0.000    2.181    0.000 {len}
        1    0.000    0.000    0.000    0.000 {math.exp}
    70701    0.043    0.000    0.043    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 {math.sqrt}
  6235118    1.471    0.000    1.471    0.000 {max}
 62092919    9.414    0.000    9.414    0.000 {method 'append' of 'list' objects}
    28720    0.017    0.000    0.017    0.000 {method 'center' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        6    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      154    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       32    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
 48823546    7.907    0.000    7.907    0.000 {method 'get' of 'dict' objects}
       17    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
    10161    0.003    0.000    0.003    0.000 {method 'iterkeys' of 'dict' objects}
 13183375    4.976    0.000    4.976    0.000 {method 'pop' of 'list' objects}
   165403    0.044    0.000    0.044    0.000 {method 'random' of '_random.Random' objects}
        1    0.041    0.041    0.041    0.041 {method 'read' of 'file' objects}
       38    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       32    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'union' of 'set' objects}
    24103    0.014    0.000    0.014    0.000 {method 'write' of 'file' objects}
   163900    0.063    0.000    0.063    0.000 {min}
        1    0.000    0.000    0.000    0.000 {open}
      191    0.000    0.000    0.000    0.000 {ord}
        1    0.003    0.003    0.003    0.003 {posix.popen}
        1    0.000    0.000    0.000    0.000 {posix.uname}
        1    0.000    0.000    0.000    0.000 {posix.urandom}
  2571740    1.395    0.000    1.395    0.000 {range}
     6025    0.006    0.000    0.006    0.000 {repr}
        1    0.006    0.006    0.007    0.007 {sorted}
     1795    0.005    0.000    0.005    0.000 {time.clock}
   346110    0.090    0.000    0.090    0.000 {time.time}
    31309    0.031    0.000    0.031    0.000 {zip}
